time,x,y,phi,delta,v,theta,cost
3.160000000000002,1.176050653631412,1.8444082160114768,0.3206874947662687,0.1866459219127921,0.9613868699919011,0.4261580579065461,0.0260511
3.200000000000002,1.2125456272133526,1.856530115422129,0.33521166086933846,0.20352867768527227,0.9516776376678133,0.44216022896741536,0.0253947
3.240000000000002,1.2484939443091732,1.869053015231579,0.3509247232685512,0.2200463794946834,0.9418627633536574,0.45807616270134976,0.0247311
3.280000000000002,1.2838723903010616,1.8820042430956285,0.3677778972116294,0.23617637193825797,0.9319238662176225,0.473894101261263,0.0240701
3.320000000000002,1.3186565824248189,1.8954069042559782,0.38572062706486804,0.25190757273799247,0.9218692400193681,0.4895964507916146,0.0234038
3.360000000000002,1.352822072506359,1.909280185071935,0.40470190434897885,0.2672303572757267,0.9117065731990797,0.5051662399950333,0.0227342
3.400000000000002,1.3863444222846264,1.9236393725951397,0.42467036635961447,0.28213661040224414,0.901442963409127,0.5205871684307948,0.0220632
3.440000000000002,1.4191992994860227,1.9384958900245002,0.4455743983505754,0.296619764525828,0.8910849354547973,0.5358436622275253,0.0213931
3.480000000000002,1.4513625918566413,1.9538573483990582,0.4673622389487585,0.3106748205328526,0.8806384560454072,0.5509209356489728,0.0207262
3.5200000000000022,1.4828105360133845,1.9697276147087337,0.48998208793722964,0.32429137581325745,0.8700849118368543,0.565810826491684,0.0200782
3.5600000000000023,1.5135190096967117,1.9861064440359548,0.5133810286162412,0.33746685057860604,0.859425221501948,0.5805010696298327,0.0194417
3.6000000000000023,1.5434644433222933,2.00298986025252,0.5375060778847166,0.3502025617295954,0.8486682786641544,0.5949782481582897,0.0188142
3.6400000000000023,1.5726242857506076,2.020370428283891,0.5623047124827304,0.3625010844421042,0.8378223278517076,0.6092300796793578,0.018198
3.6800000000000024,1.6009771528144834,2.0382374071592677,0.5877249781305754,0.3743662160546184,0.8268949493993815,0.623245446255721,0.0175955
3.7200000000000024,1.6285029728308165,2.0565769176264523,0.6137155945228565,0.3858029247952884,0.8158930493415247,0.6370144085692515,0.0170088
3.7600000000000025,1.6551831266244226,2.07537212292705,0.6402260547417112,0.39681406497087013,0.8048108472621097,0.650531212061058,0.0164483
3.8000000000000025,1.6810001946823248,2.094603134254769,0.6672060715468698,0.40740147573211694,0.793634038217304,0.6637933012578051,0.0159219
3.8400000000000025,1.7059378775485776,2.1142469615765913,0.6946051938032268,0.4175746466417922,0.7823723911877632,0.6767926720248204,0.0154154
3.8800000000000026,1.729981948354611,2.1342782658941597,0.7223741970535463,0.4273437346383207,0.7710348140872555,0.6895225374660291,0.0149303
3.9200000000000026,1.7531203361921728,2.154669599924426,0.7504651518497788,0.4367194796937254,0.759629347765789,0.7019772598142866,0.0144679
3.9600000000000026,1.7753431932252708,2.175391651436422,0.7788314799064208,0.44571311063897234,0.7481631739716345,0.7141522716292874,0.014029
4.000000000000003,1.7966429453595656,2.196413487104063,0.8074279976668436,0.4543362213544844,0.7366425628071562,0.7260440081143928,0.0136144
4.040000000000003,1.8170143245313453,2.217702792756952,0.8362109427107042,0.46259076010063416,0.7250382143132545,0.7376588706415258,0.0132502
4.080000000000003,1.8364534552741543,2.239225080170405,0.8651358861402451,0.4704898873612023,0.7133590968804276,0.7489936272757134,0.0129084
4.120000000000003,1.8549590370988704,2.260944964219175,0.8941600334272432,0.4780470311092704,0.7016143349356782,0.7600455996814952,0.0125876
4.160000000000003,1.8725323417433946,2.282826445975453,0.9232422882711068,0.4852754507244583,0.6898121088954036,0.7708128809138954,0.0122872
4.200000000000003,1.8891771604600647,2.3048331541076372,0.9523432349385662,0.4921881254907091,0.6779597070968,0.7812942409514275,0.0120061
4.240000000000003,1.904899736790352,2.326928573919289,0.9814251078298359,0.49879763702059676,0.6660635878348776,0.7914890389669791,0.011743
4.280000000000003,1.9197086864339408,2.349076263083552,1.0104517492257619,0.5051081115004753,0.6541051655068324,0.8014032850302732,0.0115155
4.320000000000003,1.9336143895570352,2.3712392305906507,1.039386939856873,0.5111272597137837,0.6420787550116971,0.8110399378105754,0.011312
4.360000000000003,1.9466292968408374,2.3933805131328576,1.0681951957008582,0.516867505706049,0.6299942512125448,0.8203980608265705,0.0111184
4.400000000000003,1.9587681929322636,2.4154638917733404,1.0968427908676142,0.5223403895565478,0.6178606795412342,0.8294771911776511,0.0109327
4.440000000000003,1.9700480449334894,2.437454067983355,1.1252976792994318,0.5275564756637191,0.6056862732976797,0.8382772819753234,0.0107533
4.480000000000003,1.9804878452110055,2.4593168205278895,1.1535294101581517,0.5325252749342809,0.5934785555097193,0.8467986544476046,0.0105784
4.520000000000003,1.9901084503452382,2.4810191436802853,1.1815090395083019,0.5372511259416336,0.5812332283104136,0.8550445804445962,0.0104151
4.560000000000003,1.998932247868477,2.5025289531256596,1.2092082517590261,0.5417307785531388,0.5689275618859606,0.8630229303561913,0.0102771
4.600000000000003,2.0069828018697344,2.52381449501095,1.236598005918486,0.5459730783378265,0.5565734044107405,0.870733210766016,0.010135
4.640000000000003,2.014285310983867,2.54484570248541,1.263650955106479,0.5499857734266149,0.5441818034550963,0.8781753485145259,0.00998761
4.680000000000003,2.0208664027663943,2.565594277551871,1.290341359009065,0.5537755948825838,0.5317630804970357,0.8853496696910521,0.00983391
4.720000000000003,2.026753931918058,2.5860337530474857,1.3166450038175523,0.557348381611457,0.5193269085260517,0.8922568841524748,0.00967311
4.760000000000003,2.03197678361495,2.6061395363155664,1.3425391328227092,0.5607092409705237,0.5068823736803624,0.898898078211704,0.00950463
4.800000000000003,2.036564682759086,2.6258889354618637,1.368002388897662,0.5638492003737414,0.4943955364404793,0.9052835645394408,0.00936345
4.840000000000003,2.040547667616345,2.645259504528117,1.393011870523798,0.5667747279676745,0.48187670232907415,0.9114143431183489,0.00921326
4.8800000000000034,2.043956451594742,2.6642307575648747,1.4175462403480528,0.5694934219036778,0.46933993649663874,0.9172909254802825,0.00905035
4.9200000000000035,2.0468222586883016,2.6827843316487963,1.4415859851874862,0.5720126343316987,0.456798562002515,0.9229143401590199,0.00887499
4.9600000000000035,2.04917661870596,2.700903958325507,1.4651133669754224,0.5743396226850832,0.4442652385024125,0.9282861238408279,0.0086876
5.0000000000000036,2.0510511753155716,2.7185754212231825,1.4881123807207035,0.5764816771733955,0.4317520357630913,0.9334083144880531,0.00848876
5.040000000000004,2.0524775072815564,2.7357865016581733,1.5105687175142528,0.578439007741228,0.41923498583373997,0.938289375862097,0.00830843
5.080000000000004,2.053486877634389,2.752525495918464,1.5324675302771613,0.5802185460216222,0.4067132742636847,0.942934010136668,0.00812854
5.120000000000004,2.054110278182161,2.7687820783298043,1.5537949512771856,0.5818312140272427,0.3942049286808821,0.9473440406403955,0.00793396
5.160000000000004,2.054378346308625,2.784547996658708,1.5745392398225704,0.5832875841560582,0.38172708059086025,0.9515219430179813,0.00772585
5.200000000000004,2.054321195591548,2.7998169729271356,1.5946906849011275,0.5845979056870787,0.3692960259636539,0.9554708256773109,0.00750552
5.240000000000004,2.053968265517792,2.8145845972462706,1.614241508649365,0.5857721192726213,0.35692727317470263,0.9591944079048101,0.00727436
5.280000000000004,2.0533481898128896,2.8288482164033315,1.6331857701611356,0.5868164306673892,0.3445993712995303,0.9627014019761878,0.00706199
5.320000000000004,2.0524887730861785,2.8426053732901995,1.6515172067520485,0.5877398431467992,0.33230900360741766,0.9659985091288422,0.00685532
5.360000000000004,2.051416966920622,2.8558544513618678,1.6692302653388724,0.5885533509987276,0.3200782250979796,0.9690896308950463,0.00663545
5.400000000000004,2.0501587386855658,2.86859560413544,1.686321481890125,0.5892671292816557,0.3079277572828048,0.9719793461972943,0.0064043
5.440000000000004,2.04873896559615,2.880830613342748,1.7027893289193128,0.5898906020557734,0.2958770380962941,0.9746728583144664,0.00616383
5.480000000000004,2.047181349702364,2.8925627481614264,1.7186340701589822,0.590432503282774,0.2839442643210459,0.977175939011572,0.00591598
5.520000000000004,2.0455083522779383,2.903796626921818,1.7338576220371424,0.5908995391161445,0.27209891690032,0.979498554121706,0.00569604
5.560000000000004,2.0437414545654105,2.914536207239446,1.748460827800365,0.591299769818478,0.2603480194638377,0.9816478933740007,0.00547841
